segment,variant,sample,customer_id,elapsed_ms,rows,sha256
1,baseline,44,1,107.16539999999986,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,45,2,170.27119999999923,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,46,42,75.72509999999966,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,47,999,167.61289999999826,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,48,1,81.56830000000082,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,49,2,77.87670000000071,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,50,42,231.57970000000023,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,51,999,103.40740000000005,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,52,1,108.29249999999956,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,53,2,172.42859999999928,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,54,42,92.96659999999974,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,55,999,160.65890000000036,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,56,1,85.72350000000006,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,57,2,76.8780999999999,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,58,42,93.1190000000006,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,59,999,163.53299999999945,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,60,1,184.64979999999923,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,61,2,74.20039999999972,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,62,42,73.38969999999972,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,63,999,83.04140000000007,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,64,1,92.42139999999927,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,65,2,183.04099999999926,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,66,42,77.20250000000124,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,67,999,77.21339999999873,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,68,1,185.71869999999944,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,69,2,167.9976999999999,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,70,42,68.26800000000003,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,71,999,71.86059999999998,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,72,1,168.47209999999905,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,73,2,77.16170000000056,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,74,42,91.38260000000082,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,75,999,78.02590000000055,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,76,1,92.29779999999664,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,77,2,90.57500000000073,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,78,42,76.9890000000014,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,79,999,91.04030000000057,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,80,1,155.13200000000143,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
