segment,variant,sample,customer_id,elapsed_ms,rows,sha256
1,baseline,44,1,36.68622000000005,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,45,2,13.198569000000134,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,46,42,18.430104999999912,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,47,999,14.625044999999773,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,48,1,38.29469000000017,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,49,2,14.888045000000147,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,50,42,13.983266000000185,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,51,999,16.65985499999988,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,52,1,33.906285000000025,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,53,2,13.506304999999884,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,54,42,18.42437500000051,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,55,999,14.145962999999938,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,56,1,36.16870800000015,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,57,2,16.606339000000844,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,58,42,14.258198000000448,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,59,999,14.027254999999968,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,60,1,39.102162000000135,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,61,2,13.616707000000133,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,62,42,14.703485,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,63,999,14.227193000000625,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,64,1,44.49419300000045,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,65,2,22.85999300000003,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,66,42,25.811461000000236,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,67,999,22.224512000000686,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
